start_time__s,stop_time__s,stimulus_onset__s,stimulus_offset__s,grating_orientation__degrees,grating_spatial_frequency__cycles_per_degree,stimulus_contrast
677.6920423,678.7030423,677.6920423,678.7030423,0.0,0.04,0.04
681.7370423,682.7490423,681.7370423,682.7490423,315.0,0.04,0.04
685.7820423,686.7940423,685.7820423,686.7940423,270.0,0.04,0.04
689.8280423,690.8390423,689.8280423,690.8390423,45.0,0.04,0.04
693.8730423,694.8840423,693.8730423,694.8840423,0.0,0.04,0.04
697.9180423,698.9300423,697.9180423,698.9300423,270.0,0.04,0.16
701.9640423,702.9750423,701.9640423,702.9750423,90.0,0.04,0.16
706.0090423,707.0200423,706.0090423,707.0200423,0.0,0.04,0.64
710.0540423,711.0660422999999,710.0540423,711.0660422999999,315.0,0.04,0.16
714.1000423,715.1110423,714.1000423,715.1110423,45.0,0.04,0.64
718.1450423,719.1560423,718.1450423,719.1560423,45.0,0.04,0.04
722.1900423,723.2020423,722.1900423,723.2020423,45.0,0.04,0.16
726.2360423,727.2470423,726.2360423,727.2470423,180.0,0.04,0.04
730.2810423,731.2920422999999,730.2810423,731.2920422999999,225.0,0.04,0.16
734.3260423,735.3370423,734.3260423,735.3370423,90.0,0.04,0.64
738.3710423,739.3830422999999,738.3710423,739.3830422999999,180.0,0.04,0.64
742.4170422999999,743.4280423,742.4170422999999,743.4280423,270.0,0.04,0.64
746.4620423,747.4730423,746.4620423,747.4730423,135.0,0.04,0.64
750.5070423,751.5190423,750.5070423,751.5190423,90.0,0.04,0.04
754.5530423,755.5640423,754.5530423,755.5640423,0.0,0.04,0.16
758.5980423,759.6090422999999,758.5980423,759.6090422999999,135.0,0.04,0.16
762.6430422999999,763.6550423,762.6430422999999,763.6550423,135.0,0.04,0.04
766.6890423,767.7000423,766.6890423,767.7000423,270.0,0.04,0.04
770.7340422999999,771.7450423,770.7340422999999,771.7450423,180.0,0.04,0.16
774.7790423,775.7900423,774.7790423,775.7900423,225.0,0.04,0.04
778.8240423,779.8360423,778.8240423,779.8360423,225.0,0.04,0.64
782.8700423,783.8810423,782.8700423,783.8810423,315.0,0.04,0.64
786.9150423,787.9260423,786.9150423,787.9260423,315.0,0.04,0.04
790.9600422999999,791.9720423,790.9600422999999,791.9720423,135.0,0.04,0.64
795.0060423,796.0170423,795.0060423,796.0170423,315.0,0.04,0.16
799.0510423,800.0620423,799.0510423,800.0620423,315.0,0.04,0.04
803.0960423,804.1070423,803.0960423,804.1070423,45.0,0.04,0.16
807.1420423,808.1530423,807.1420423,808.1530423,90.0,0.04,0.04
811.1870423,812.1980423,811.1870423,812.1980423,0.0,0.04,0.16
815.2320423,816.2430423,815.2320423,816.2430423,180.0,0.04,0.04
819.2770423,820.2890423,819.2770423,820.2890423,180.0,0.04,0.16
823.3230423,824.3340423,823.3230423,824.3340423,45.0,0.04,0.64
827.3680423,828.3790423,827.3680423,828.3790423,225.0,0.04,0.64
831.4130423,832.4250423,831.4130423,832.4250423,270.0,0.04,0.64
835.4590423,836.4700422999999,835.4590423,836.4700422999999,180.0,0.04,0.64
839.5040423,840.5150423,839.5040423,840.5150423,0.0,0.04,0.64
843.5490423,844.5600423,843.5490423,844.5600423,0.0,0.04,0.04
847.5950422999999,848.6060423,847.5950422999999,848.6060423,90.0,0.04,0.16
851.6400423,852.6510423,851.6400423,852.6510423,225.0,0.04,0.04
855.6850423,856.6960422999999,855.6850423,856.6960422999999,270.0,0.04,0.16
859.7300423,860.7420423,859.7300423,860.7420423,135.0,0.04,0.04
863.7760423,864.7870422999999,863.7760423,864.7870422999999,270.0,0.04,0.04
867.8210422999999,868.8320423,867.8210422999999,868.8320423,315.0,0.04,0.64
871.8660423,872.8780423,871.8660423,872.8780423,225.0,0.04,0.16
875.9120422999999,876.9230423,875.9120422999999,876.9230423,135.0,0.04,0.16
879.9570423,880.9680423,879.9570423,880.9680423,90.0,0.04,0.64
884.0020423,885.0130422999999,884.0020423,885.0130422999999,45.0,0.04,0.04
888.0480423,889.0590423,888.0480423,889.0590423,135.0,0.04,0.04
892.0930423,893.1040423,892.0930423,893.1040423,90.0,0.04,0.64
896.1380422999999,897.1490423,896.1380422999999,897.1490423,315.0,0.04,0.04
900.1830423,901.1950423,900.1830423,901.1950423,180.0,0.04,0.04
904.2290423,905.2400423,904.2290423,905.2400423,0.0,0.04,0.64
908.2740423,909.2850423,908.2740423,909.2850423,90.0,0.04,0.16
912.3190423,913.3310423,912.3190423,913.3310423,180.0,0.04,0.16
916.3650423,917.3760423,916.3650423,917.3760423,270.0,0.04,0.16
920.4100423,921.4210423,920.4100423,921.4210423,45.0,0.04,0.64
924.4550423,925.4660423,924.4550423,925.4660423,0.0,0.04,0.04
928.5000423,929.5120423,928.5000423,929.5120423,0.0,0.04,0.16
932.5460423,933.5570423,932.5460423,933.5570423,270.0,0.04,0.64
936.5910423,937.6020423,936.5910423,937.6020423,90.0,0.04,0.04
940.6370423,941.6480423,940.6370423,941.6480423,270.0,0.04,0.04
944.6820423,945.6930423,944.6820423,945.6930423,225.0,0.04,0.64
948.7270423,949.7380423,948.7270423,949.7380423,135.0,0.04,0.64
952.7720423,953.7840423,952.7720423,953.7840423,45.0,0.04,0.16
956.8180423,957.8290423,956.8180423,957.8290423,315.0,0.04,0.64
960.8630423,961.8740423,960.8630423,961.8740423,180.0,0.04,0.64
964.9080423,965.9200423,964.9080423,965.9200423,225.0,0.04,0.04
968.9540423,969.9650422999999,968.9540423,969.9650422999999,135.0,0.04,0.16
972.9990423,974.0100423,972.9990423,974.0100423,315.0,0.04,0.16
977.0440423,978.0550423,977.0440423,978.0550423,45.0,0.04,0.04
981.0890423,982.1010423,981.0890423,982.1010423,225.0,0.04,0.16
