unit_ID,spikesorting_ID,quality,depth,area
68,53,0,434.3152,PFC
69,56,1,441.8391,PFC
70,59,0,446.8342,PFC
71,62,0,461.3066,PFC
72,55,0,469.9331,PFC
73,58,0,490.8642,PFC
74,65,0,492.0927,PFC
75,57,0,495.4143,PFC
76,61,1,502.7394,PFC
77,64,0,533.4165,PFC
78,66,0,533.731,PFC
79,63,1,552.0957,PFC
80,67,0,574.0526,PFC
81,68,0,576.7682,PFC
82,251,0,576.9071,PFC
83,70,0,582.9459,PFC
84,69,0,585.5865,PFC
85,250,0,587.315,PFC
86,308,0,623.833,PFC
87,71,0,625.9796,PFC
88,73,0,628.2413,PFC
89,74,0,659.3858,PFC
90,72,0,664.4188,PFC
91,78,0,680.296,PFC
92,75,1,687.9792,PFC
93,79,0,689.3617,PFC
94,77,0,701.1059,PFC
95,76,1,710.1488,PFC
96,252,0,713.6859,PFC
97,82,0,724.2618,PFC
98,80,0,737.6743,PFC
99,81,0,748.4834,PFC
100,254,0,756.4209,PFC
101,253,0,757.5406,PFC
102,85,0,760.2571,PFC
103,86,0,766.7172,PFC
104,83,0,767.0804,PFC
105,84,1,779.8383,PFC
106,89,0,783.1155,PFC
107,255,0,784.3212,PFC
108,87,1,792.289,PFC
109,88,0,793.863,PFC
110,256,1,794.9598,PFC
111,90,0,808.2858,PFC
112,91,1,833.5943,PFC
113,93,0,838.3394,PFC
114,92,0,844.2679,PFC
115,94,0,847.2566,PFC
116,259,1,853.7963,PFC
117,98,0,855.0856,PFC
118,97,0,859.4887,PFC
119,95,0,859.6362,PFC
120,257,0,864.6187,PFC
121,96,0,871.5676,PFC
122,99,1,877.9715,PFC
123,258,0,880.9252,PFC
124,100,0,892.2932,PFC
125,101,0,896.9947,PFC
126,102,0,978.6416,PFC
127,103,0,989.9492,PFC
128,106,0,1021.9257,PFC
129,260,0,1027.8784,PFC
130,104,0,1051.1192,PFC
131,105,0,1055.9245,PFC
132,107,0,1076.1774,PFC
133,109,0,1085.1193,PFC
134,108,0,1137.3668,PFC
135,110,0,1203.8601,PFC
136,111,0,1214.927,PFC
137,112,0,1317.9137,PFC
138,113,0,1323.9532,PFC
139,115,1,1379.0062,PFC
140,114,0,1387.382,PFC
141,117,0,1415.7144,PFC
142,116,0,1422.3773,PFC
143,118,0,1430.7882,PFC
144,119,0,1471.7879,PFC
145,261,0,1504.5681,PFC
146,120,0,1519.4401,PFC
147,121,0,1525.964,PFC
148,122,1,1592.0813,PFC
149,123,0,1638.473,PFC
150,124,0,1653.5328,PFC
151,126,0,1669.0238,PFC
152,125,1,1672.0022,PFC
153,129,0,1687.7168,PFC
154,128,0,1697.1365,PFC
155,127,0,1711.8939,PFC
156,297,0,1718.8008,PFC
157,130,0,1720.8708,PFC
158,299,0,1721.3018,PFC
159,298,0,1721.5882,PFC
160,262,0,1722.3206,PFC
161,131,0,1723.2101,PFC
162,263,0,1724.7766,PFC
163,133,0,1732.2757,PFC
164,138,0,1732.9427,PFC
165,264,0,1733.5629,PFC
166,266,0,1739.8214,PFC
167,132,0,1746.8794,PFC
168,267,0,1748.6998,PFC
169,134,0,1749.3768,PFC
170,265,0,1752.7151,PFC
171,137,0,1755.5062,PFC
172,135,0,1757.0602,PFC
173,300,0,1757.474,PFC
174,269,0,1760.9498,PFC
175,268,0,1761.3371,PFC
176,139,0,1763.981,PFC
177,140,1,1767.1875,PFC
178,136,1,1767.6975,PFC
179,141,0,1798.1252,PFC
180,142,1,1798.9875,PFC
181,270,1,1800.5908,PFC
182,271,1,1802.2537,PFC
183,143,0,1817.0728,PFC
184,145,0,1836.7346,PFC
185,144,0,1840.1281,PFC
186,147,0,1876.2086,PFC
187,146,1,1880.004,PFC
188,148,1,1903.2453,PFC
189,149,0,1917.3348,PFC
190,150,0,1921.2933,PFC
191,152,0,1929.9996,PFC
192,151,0,1945.0849,PFC
193,154,0,1945.2524,PFC
194,153,0,1953.0253,PFC
195,273,0,1975.3444,PFC
196,272,0,1978.7976,PFC
197,155,0,1979.6636,PFC
198,156,0,2006.1461,PFC
199,157,0,2031.9174,PFC
200,301,1,2047.8744,PFC
201,158,0,2049.3432,PFC
202,274,0,2052.9854,PFC
203,160,0,2063.8681,PFC
204,159,0,2069.0919,PFC
205,161,1,2071.5672,PFC
206,162,0,2105.7066,PFC
207,164,0,2120.9555,PFC
208,163,1,2126.8364,PFC
209,166,1,2152.3399,PFC
210,165,0,2159.5687,PFC
211,167,0,2177.0703,PFC
212,302,1,2194.0729,PFC
213,275,1,2204.4176,PFC
214,168,1,2207.0122,PFC
215,276,0,2222.3996,PFC
216,278,1,2231.2335,PFC
217,277,0,2237.9899,PFC
218,169,0,2252.6929,PFC
219,172,0,2266.1943,PFC
220,170,0,2277.102,PFC
221,173,0,2282.2292,PFC
222,174,0,2286.9523,PFC
223,171,0,2293.4081,PFC
224,279,0,2299.1954,PFC
225,175,0,2336.3267,PFC
226,280,0,2354.3317,PFC
227,176,0,2355.2394,PFC
228,178,0,2386.2959,PFC
229,281,0,2389.4598,PFC
230,177,0,2394.8495,PFC
231,179,0,2400.1057,PFC
232,180,0,2408.2144,PFC
233,282,0,2420.2602,PFC
234,283,0,2425.6308,PFC
235,181,0,2436.4741,PFC
236,182,0,2456.5272,PFC
237,183,0,2460.4608,PFC
238,303,1,2524.7834,PFC
239,184,0,2529.9634,PFC
240,284,0,2531.4878,PFC
241,304,1,2540.1314,PFC
242,187,0,2552.8433,PFC
243,286,0,2557.1409,PFC
244,185,0,2558.379,PFC
245,188,0,2572.7726,PFC
246,186,1,2575.9257,PFC
247,285,0,2579.7355,PFC
248,190,1,2611.3136,PFC
249,189,1,2627.3416,PFC
250,192,0,2651.7519,PFC
251,193,0,2652.8057,PFC
252,191,0,2654.0464,PFC
253,194,0,2657.1132,PFC
254,287,0,2662.1831,PFC
255,288,0,2665.9883,PFC
256,196,0,2670.5407,PFC
257,290,1,2671.4017,PFC
258,195,0,2679.004,PFC
259,289,1,2680.0885,PFC
260,197,0,2699.6534,PFC
261,291,0,2714.9631,PFC
262,198,0,2753.9439,PFC
263,200,0,2758.7615,PFC
264,199,0,2783.4882,PFC
265,292,1,2797.8563,PFC
266,201,1,2799.386,PFC
267,305,0,2799.9327,PFC
268,306,0,2804.8454,PFC
269,294,0,2820.0044,PFC
270,203,0,2820.9266,PFC
271,202,0,2827.917,PFC
272,293,1,2830.0988,PFC
273,204,0,2848.7498,PFC
274,205,0,2857.8193,PFC
275,207,0,2881.1439,PFC
276,206,0,2885.2946,PFC
277,211,0,2885.8932,PFC
278,208,0,2886.9803,PFC
279,210,0,2887.8193,PFC
280,216,0,2907.0628,PFC
281,209,0,2923.7956,PFC
282,212,0,2952.6754,PFC
283,213,0,2982.6123,PFC
284,214,0,3024.1389,PFC
285,215,0,3051.332,PFC
286,295,0,3066.1903,PFC
287,217,0,3120.9257,PFC
288,218,0,3132.0288,PFC
289,219,0,3304.1306,PFC
290,220,0,3327.6718,PFC
291,221,0,3366.7232,PFC
292,222,0,3439.132,PFC
293,224,0,3513.2666,PFC
294,296,0,3528.4282,PFC
295,226,0,3537.9701,PFC
296,223,0,3538.4231,PFC
297,225,0,3554.8516,PFC
298,227,0,3628.6742,PFC
299,229,0,3656.7067,PFC
300,228,0,3661.433,PFC
301,233,0,3663.3565,PFC
302,238,0,3664.1132,PFC
303,237,0,3664.8698,PFC
304,232,0,3670.6174,PFC
305,236,0,3674.0963,PFC
306,231,0,3677.2284,PFC
307,235,0,3682.0419,PFC
308,230,0,3689.6241,PFC
309,234,0,3692.5697,PFC
